total 1
crw-------  1 _logd          _logd      0x7000000 Jan 30 10:41 oslog
crw-------  1 danielistrati  staff              0 Jan 30 17:35 console
crw--w----  1 danielistrati  tty       0x10000003 Jan 30 16:41 ttys003
crw--w----  1 danielistrati  tty       0x10000006 Jan 30 18:59 ttys006
crw--w----  1 danielistrati  tty       0x10000008 Jan 30 18:42 ttys008
br--r-----  1 root           operator   0x1000013 Jan 30 10:41 disk3s3s1
brw-------  1 root           operator   0x2000000 Jan 30 18:17 apfs-raw-device.2.0
brw-r-----  1 root           operator   0x1000000 Jan 30 10:41 disk0
brw-r-----  1 root           operator   0x1000001 Jan 30 10:41 disk0s1
brw-r-----  1 root           operator   0x1000002 Jan 30 10:41 disk0s2
brw-r-----  1 root           operator   0x1000003 Jan 30 10:41 disk0s3
brw-r-----  1 root           operator   0x1000004 Jan 30 10:41 disk1
brw-r-----  1 root           operator   0x1000005 Jan 30 10:41 disk1s2
brw-r-----  1 root           operator   0x1000006 Jan 30 10:41 disk1s3
brw-r-----  1 root           operator   0x1000007 Jan 30 10:41 disk1s4
brw-r-----  1 root           operator   0x1000008 Jan 30 10:41 disk1s1
brw-r-----  1 root           operator   0x1000009 Jan 30 10:41 disk2
brw-r-----  1 root           operator   0x100000a Jan 30 10:41 disk2s1
brw-r-----  1 root           operator   0x100000b Jan 30 10:41 disk2s2
brw-r-----  1 root           operator   0x100000c Jan 30 10:41 disk3
brw-r-----  1 root           operator   0x100000d Jan 30 10:41 disk3s6
brw-r-----  1 root           operator   0x100000e Jan 30 10:41 disk3s3
brw-r-----  1 root           operator   0x100000f Jan 30 10:41 disk3s2
brw-r-----  1 root           operator   0x1000010 Jan 30 10:41 disk3s1
brw-r-----  1 root           operator   0x1000011 Jan 30 10:41 disk3s5
brw-r-----  1 root           operator   0x1000012 Jan 30 10:41 disk3s4
cr--r-----  1 root           operator   0x1000013 Jan 30 10:41 rdisk3s3s1
crw-r-----  1 root           operator   0x1000000 Jan 30 10:41 rdisk0
crw-r-----  1 root           operator   0x1000001 Jan 30 10:41 rdisk0s1
crw-r-----  1 root           operator   0x1000002 Jan 30 10:41 rdisk0s2
crw-r-----  1 root           operator   0x1000003 Jan 30 10:41 rdisk0s3
crw-r-----  1 root           operator   0x1000004 Jan 30 10:41 rdisk1
crw-r-----  1 root           operator   0x1000005 Jan 30 10:41 rdisk1s2
crw-r-----  1 root           operator   0x1000006 Jan 30 10:41 rdisk1s3
crw-r-----  1 root           operator   0x1000007 Jan 30 10:41 rdisk1s4
